AUC,Classifier,Distribution
0.6211855578100496,RandomForestClassifier,"[2636, 5241]"
0.6146386368063157,RandomForestClassifier,"[2701, 5241]"
0.565232737821434,GaussianNB,"[1479, 5241]"
0.5646443842526574,GaussianNB,"[3777, 5241]"
0.5861122748828953,RandomForestClassifier,"[1898, 5241]"
0.5888626150481822,RandomForestClassifier,"[1941, 5241]"
0.626643554335107,RandomForestClassifier,"[2568, 5241]"
0.6095091839055373,RandomForestClassifier,"[2737, 5241]"
0.602279004588591,RandomForestClassifier,"[3003, 5241]"
0.5951691515746023,GaussianNB,"[647, 5241]"
0.6075361817269412,GaussianNB,"[673, 5241]"
0.6203710039450151,RandomForestClassifier,"[2709, 5241]"
0.5998276212280594,RandomForestClassifier,"[3046, 5241]"
0.5629983284089832,GaussianNB,"[1535, 5241]"
0.6104592960021009,RandomForestClassifier,"[2842, 5241]"
0.5608229468405093,GaussianNB,"[3592, 5241]"
0.5953900601489709,RandomForestClassifier,"[2088, 5241]"
0.5674134918775444,GaussianNB,"[915, 5241]"
0.582647049106851,RandomForestClassifier,"[1876, 5241]"
0.6138477705877776,RandomForestClassifier,"[2374, 5241]"
0.5653656466060918,GaussianNB,"[1392, 5241]"
0.562312722625554,GaussianNB,"[3681, 5241]"
0.620655229670865,RandomForestClassifier,"[2389, 5241]"
0.5643055515759083,GaussianNB,"[906, 5241]"
0.5822372438634276,GaussianNB,"[3983, 5241]"
0.6214590239102374,RandomForestClassifier,"[2588, 5241]"
0.5608725340259892,GaussianNB,"[3671, 5241]"
0.5761223326766453,GaussianNB,"[3950, 5241]"
0.6217585804326912,RandomForestClassifier,"[2615, 5241]"
0.5575826137821098,GaussianNB,"[3559, 5241]"
0.575920135069882,GaussianNB,"[3963, 5241]"
0.5972891186853783,GaussianNB,"[642, 5241]"
0.5840720956558652,RandomForestClassifier,"[1911, 5241]"
0.6056830098246294,RandomForestClassifier,"[2918, 5241]"
0.5675091427931178,GaussianNB,"[3814, 5241]"
0.5959161977632997,RandomForestClassifier,"[3151, 5241]"
0.5938352661420592,RandomForestClassifier,"[3072, 5241]"
0.5640120645116641,GaussianNB,"[3651, 5241]"
0.5832636157136747,RandomForestClassifier,"[1936, 5241]"
0.5646841907876736,GaussianNB,"[1595, 5241]"
0.6117784550066252,RandomForestClassifier,"[2889, 5241]"
0.5506157638510579,MLPClassifier,"[1170, 5241]"
0.5754908486642403,GaussianNB,"[1314, 5241]"
0.6006253545139136,RandomForestClassifier,"[2934, 5241]"
0.6173431851665165,RandomForestClassifier,"[2555, 5241]"
0.5893082107830241,GaussianNB,"[698, 5241]"
0.613134862249117,RandomForestClassifier,"[2833, 5241]"
0.5585501053595022,GaussianNB,"[3612, 5241]"
0.6044133849772945,RandomForestClassifier,"[2912, 5241]"
0.5985585704846608,RandomForestClassifier,"[3111, 5241]"
