len,folder
94,glass-0-4_vs_5
103,zoo-3
110,glass-0-6_vs_5
129,shuttle-c2-vs-c4
150,lymphography-normal-fibrosis
152,iris0
170,winequality-white-9_vs_4
174,glass-0-1-5_vs_2
175,cleveland-0_vs_4
184,glass-0-1-6_vs_5
192,glass-0-1-6_vs_2
202,ecoli-0-3-4_vs_5
204,ecoli-0-2-3-4_vs_5
205,ecoli-0-4-6_vs_5
207,ecoli-0-3-4-6_vs_5
207,glass-0-1-4-6_vs_2
216,glass-0-1-2-3_vs_4-5-6
216,glass0
216,glass1
216,glass2
216,glass4
216,glass5
216,glass6
217,new-thyroid1
217,new-thyroid2
222,ecoli-0-6-7_vs_5
222,ecoli-0_vs_1
224,ecoli-0-6-7_vs_3-5
226,ecoli-0-2-6-7_vs_3-5
232,shuttle-6_vs_2-3
242,ecoli-0-1_vs_5
246,ecoli-0-1_vs_2-3-5
246,poker-9_vs_7
259,ecoli-0-3-4-7_vs_5-6
282,ecoli-0-1-4-6_vs_5
283,ecoli-0-1-3-7_vs_2-6
308,habermanImb
334,ecoli-0-1-4-7_vs_5-6
338,ecoli-0-1-4-7_vs_2-3-5-6
338,ecoli1
338,ecoli2
338,ecoli3
338,ecoli4
360,dermatology-6
445,led7digit-0-2-4-5-6-7-8-9_vs_1
459,yeast-1_vs_7
474,page-blocks-1-3_vs_4
484,yeast-2_vs_8
504,abalone-3_vs_11
508,yeast-0-3-5-9_vs_7-8
516,yeast-2_vs_4
530,yeast-0-5-6-7-9_vs_4
583,abalone-21_vs_8
658,winequality-red-8_vs_6
685,wisconsinImb
693,winequality-red-3_vs_5
695,yeast-1-4-5-8_vs_7
733,abalone9-18
770,pimaImb
848,vehicle0
848,vehicle1
848,vehicle2
848,vehicle3
857,winequality-red-8_vs_6-7
902,winequality-white-3_vs_7
949,yeast-1-2-8-9_vs_7
990,vowel0
1006,yeast-0-2-5-6_vs_3-7-8-9
1006,yeast-0-2-5-7-9_vs_3-6-8
1068,flare-F
1462,kr-vs-k-zero_vs_eight
1479,poker-8_vs_6
1484,winequality-white-3-9_vs_5
1486,yeast1
1486,yeast3
1486,yeast4
1486,yeast5
1486,yeast6
1487,poker-8-9_vs_6
1601,winequality-red-4
1624,abalone-19_vs_10-11-12-13
1730,car-good
1730,car-vgood
1829,shuttle-c0-vs-c4
1918,abalone-20_vs_8-9-10
2077,poker-8-9_vs_5
2195,kr-vs-k-zero_vs_fifteen
2246,kr-vs-k-one_vs_fifteen
2310,segment0
2340,abalone-17_vs_7-8-9-10
2903,kr-vs-k-zero-one_vs_draw
2937,kr-vs-k-three_vs_eleven
3318,shuttle-2_vs_5
4176,abalone19
5474,page-blocks0
