model,abalone-17_vs_7-8-9-10,segment0,kr-vs-k-one_vs_fifteen,kr-vs-k-zero_vs_fifteen,poker-8-9_vs_5,abalone-20_vs_8-9-10,shuttle-c0-vs-c4,car-vgood,car-good,abalone-19_vs_10-11-12-13,winequality-red-4,poker-8-9_vs_6,yeast6,yeast5,yeast4,yeast3,yeast1,winequality-white-3-9_vs_5,poker-8_vs_6,kr-vs-k-zero_vs_eight,flare-F,yeast-0-2-5-7-9_vs_3-6-8,yeast-0-2-5-6_vs_3-7-8-9,vowel0,yeast-1-2-8-9_vs_7,winequality-white-3_vs_7,winequality-red-8_vs_6-7,vehicle3,vehicle2,vehicle1,vehicle0,pimaImb,abalone9-18,yeast-1-4-5-8_vs_7,winequality-red-3_vs_5,wisconsinImb,winequality-red-8_vs_6,abalone-21_vs_8,yeast-0-5-6-7-9_vs_4,yeast-2_vs_4,yeast-0-3-5-9_vs_7-8,abalone-3_vs_11,yeast-2_vs_8,page-blocks-1-3_vs_4,yeast-1_vs_7,led7digit-0-2-4-5-6-7-8-9_vs_1,dermatology-6,ecoli4,ecoli3,ecoli2,ecoli1,ecoli-0-1-4-7_vs_2-3-5-6,ecoli-0-1-4-7_vs_5-6,habermanImb,ecoli-0-1-3-7_vs_2-6,ecoli-0-1-4-6_vs_5,ecoli-0-3-4-7_vs_5-6,poker-9_vs_7,ecoli-0-1_vs_2-3-5,ecoli-0-1_vs_5,shuttle-6_vs_2-3,ecoli-0-2-6-7_vs_3-5,ecoli-0-6-7_vs_3-5,ecoli-0_vs_1,ecoli-0-6-7_vs_5,new-thyroid2,new-thyroid1,glass6,glass5,glass4,glass2,glass1,glass0,glass-0-1-2-3_vs_4-5-6,glass-0-1-4-6_vs_2,ecoli-0-3-4-6_vs_5,ecoli-0-4-6_vs_5,ecoli-0-2-3-4_vs_5,ecoli-0-3-4_vs_5,glass-0-1-6_vs_2,glass-0-1-6_vs_5,cleveland-0_vs_4,glass-0-1-5_vs_2,winequality-white-9_vs_4,iris0,lymphography-normal-fibrosis,shuttle-c2-vs-c4,glass-0-6_vs_5,zoo-3,glass-0-4_vs_5,Average
BRM,0.837623951,0.68677176,0.677586881,0.64627813,0.740487805,0.831746032,0.577098942,0.519881434,0.522107282,0.621194969,0.682892559,0.807919521,0.545081967,0.652331349,0.67136007,0.550345681,0.541134125,0.924592275,0.67432824,0.578693901,0.697612541,0.549304147,0.633820547,0.559134169,0.61834925,0.914861506,0.659594883,0.544950574,0.641869304,0.571266045,0.501210418,0.687079439,0.768575043,0.511792453,0.733915441,0.97236192,0.713165266,0.917318884,0.645026178,0.726280323,0.596497253,0.741216795,0.765582656,0.77759283,0.555068226,0.547055703,0.625694444,0.745287698,0.519940476,0.517245084,0.643462422,0.756876664,0.766122449,0.672178819,0.864840183,0.715745192,0.827837838,0.691358025,0.758074163,0.792258523,0.995028409,0.807552651,0.818014706,0.750990379,0.7765625,0.767609127,0.830853175,0.694770858,0.618466899,0.899378882,0.555988315,0.513363363,0.721583851,0.798091603,0.529801325,0.788006757,0.80864726,0.767241379,0.836371528,0.503043719,0.781089414,0.81640625,0.506203474,0.528846154,0.665,0.809210526,0.973063973,0.799276673,0.861842105,0.742424242,0.700017891
GM,0.830699371,0.713085084,0.999944158,1,0.707804878,0.874305556,0.997020832,0.55615963,0.546852093,0.602610063,0.592389421,0.627910959,0.674596327,0.79796627,0.693591979,0.614875191,0.536045901,0.864377682,0.536354057,0.764271184,0.79643679,0.749912581,0.691656759,0.797121634,0.644326967,0.87109375,0.531449893,0.519577979,0.549869488,0.533113458,0.622361714,0.669088785,0.822801518,0.584748428,0.759880515,0.976004719,0.579831933,0.922937989,0.685732984,0.798854447,0.616277473,0.955441302,0.781165312,0.679897567,0.639498051,0.510079576,0.793518519,0.866319444,0.590327381,0.597292361,0.594440485,0.781011535,0.832244898,0.591536458,0.824657534,0.786658654,0.799189189,0.964726631,0.799342105,0.823153409,0.911931818,0.801016703,0.754411765,0.799943407,0.8140625,0.830357143,0.822172619,0.854876616,0.537456446,0.82484472,0.509737098,0.588138138,0.688664596,0.886641221,0.564951605,0.766469595,0.783390411,0.7625,0.80078125,0.563918096,0.614594039,0.80625,0.611042184,0.782692308,0.5053125,0.984649123,0.96969697,0.640144665,0.957236842,0.712121212,0.732382738
OCKRA,0.8539163806254767,0.7666004530071169,0.9644100292239823,0.9399060258840986,0.7252439024390244,0.8695436507936508,0.7953341188851093,0.5851937536148062,0.5591696924025484,0.6509119496855346,0.5983369904145976,0.7839469178082192,0.5906261555528165,0.7531746031746032,0.607824760244115,0.5,0.558575021071394,0.8872103004291846,0.7861564805057956,0.5044629883339561,0.7709801524521789,0.710032170081824,0.6660605636757815,0.6060817084493964,0.606468849477035,0.9035866477272727,0.6133262260127932,0.5551743052880969,0.6320236296194532,0.5474436617290477,0.5183022517426372,0.6949883177570093,0.8006379585326954,0.5,0.7945772058823529,0.9675245188407935,0.6593837535014005,0.9070840858920329,0.6595549738219896,0.7352425876010782,0.5787087912087912,0.8993144815766924,0.7947154471544716,0.8377720870678617,0.5466617933723197,0.5310875331564987,0.8520833333333333,0.8787202380952381,0.5607142857142857,0.6505855807456753,0.5679100340540113,0.7707187222715173,0.5,0.5,0.8310502283105023,0.5,0.8724324324324324,0.9894179894179894,0.8050239234449761,0.5,0.9900568181818181,0.8213507625272332,0.7768382352941177,0.7625919637804189,0.5,0.5,0.8804563492063492,0.8625146886016452,0.7012195121951219,0.8391304347826087,0.6217137293086661,0.5444444444444445,0.7268633540372671,0.9064885496183206,0.5822720326031584,0.7825168918918919,0.8501712328767124,0.8176724137931035,0.8576388888888888,0.5545102379634754,0.8427543679342241,0.878125,0.5372208436724566,0.7019230769230769,0.5,0.6425438596491229,0.9696969696969697,0.8390596745027125,0.8848684210526316,0.8181818181818182,0.717652880168286
OCSVM,0.643211289,0.807226977,0.997812855,1,0.619603659,0.620271164,0.980872555,0.582229612,0.51990135,0.600157233,0.613311776,0.582876712,0.776962899,0.916121032,0.750588492,0.560483225,0.52827712,0.858927039,0.549855111,0.690746046,0.743186394,0.845705993,0.754808029,0.945856546,0.667121419,0.795099432,0.574733475,0.572785733,0.536955626,0.548466427,0.535369755,0.610023364,0.654842435,0.588600629,0.765165441,0.945579235,0.635994398,0.876781056,0.68697644,0.846428571,0.615384615,0.996572408,0.783367209,0.554929577,0.656554581,0.525039788,0.79537037,0.750744048,0.594196429,0.552702267,0.605052665,0.7364685,0.790204082,0.576432292,0.820091324,0.747596154,0.762972973,0.909171076,0.788576555,0.828125,0.899147727,0.796659405,0.762132353,0.747877759,0.83828125,0.884424603,0.898809524,0.867215041,0.640243902,0.859006211,0.635345667,0.525525526,0.672826087,0.855916031,0.623535405,0.768158784,0.791952055,0.768103448,0.794704861,0.616491422,0.512846865,0.803125,0.605459057,0.730769231,0.6103125,0.995614035,0.96969697,0.537070524,0.542763158,0.619047619,0.721028116
EE,0.895237414,0.751850099,0.754527856,1,0.71304878,0.919874339,0.992818871,0.50597166,0.577118586,0.690943396,0.621896293,0.581892123,0.633427832,0.737375992,0.610418483,0.551903064,0.535203045,0.842660944,0.599710221,0.547515257,0.862343593,0.691604308,0.630079027,0.842308883,0.574977262,0.86772017,0.516311301,0.656396251,0.632550259,0.614164723,0.521161028,0.680724299,0.854864434,0.562893082,0.75390625,0.98868815,0.516526611,0.959261489,0.669698953,0.778638814,0.59793956,0.979648672,0.781334688,0.930345711,0.597831384,0.510185676,0.821990741,0.914930556,0.548214286,0.79918341,0.529025105,0.797338066,0.824081633,0.707508681,0.826484018,0.861778846,0.821081081,0.804232804,0.829246411,0.879971591,0.883522727,0.820624546,0.775367647,0.762450481,0.816796875,0.843253968,0.877728175,0.962690952,0.743902439,0.863975155,0.539922103,0.617567568,0.755745342,0.965648855,0.516046867,0.874577703,0.859589041,0.8625,0.888454861,0.537354732,0.741007194,0.959375,0.526054591,0.730769231,0.5609375,0.953947368,0.97979798,0.759493671,0.615131579,0.880952381,0.74528614
AvgKNN,0.8388873,0.681143999,0.703595294,0.623512763,0.803993902,0.841170635,0.584302304,0.5,0.5,0.644245283,0.68489433,0.851862158,0.526377419,0.650421627,0.669006103,0.56073066,0.55665787,0.904849785,0.684338778,0.51419853,0.684470732,0.573151969,0.64584936,0.54449087,0.630911778,0.930486506,0.648081023,0.555174305,0.622132161,0.578724187,0.520224323,0.701670561,0.805092669,0.502122642,0.796185662,0.97587936,0.685154062,0.92213526,0.642931937,0.762668464,0.609340659,0.741859469,0.800474255,0.77362356,0.578338207,0.553687003,0.660185185,0.745039683,0.50625,0.520575911,0.622475647,0.75190772,0.797959184,0.679817708,0.814611872,0.76953125,0.839189189,0.842151675,0.777811005,0.776633523,0.993607955,0.83405955,0.784558824,0.756649689,0.79453125,0.84077381,0.869543651,0.697414806,0.665505226,0.904968944,0.585686465,0.511711712,0.717080745,0.846755725,0.528273051,0.803209459,0.862585616,0.769827586,0.836371528,0.530160487,0.820143885,0.8203125,0.524193548,0.569230769,0.69375,0.997807018,0.962962963,0.831826401,0.947368421,0.80952381,0.714706496
LargestKNN,0.844548532,0.730197752,0.715122015,0.659027835,0.831737805,0.838574735,0.588711769,0.5,0.5,0.648663522,0.610491974,0.902140411,0.556545051,0.693477183,0.661017873,0.539134706,0.540059829,0.889463519,0.684668072,0.525428654,0.684075219,0.649197496,0.65664557,0.528628907,0.631252842,0.901633523,0.595415778,0.561879253,0.627822045,0.586245533,0.51088768,0.705683411,0.819199252,0.522641509,0.733455882,0.979603274,0.648389356,0.916716837,0.66927356,0.762398922,0.622664835,0.693658955,0.835873984,0.781306018,0.57127193,0.554854111,0.671412037,0.740575397,0.513839286,0.539378962,0.632771046,0.732653061,0.796530612,0.680208333,0.79086758,0.766676683,0.831756757,0.994708995,0.796351675,0.794744318,0.993607955,0.87037037,0.762316176,0.760752688,0.803710938,0.870039683,0.901909722,0.701233843,0.638501742,0.909937888,0.599561831,0.521321321,0.717624224,0.840458015,0.538461538,0.779349662,0.86322774,0.79762931,0.822482639,0.551466519,0.845837616,0.83046875,0.503722084,0.586538462,0.710625,0.995614035,0.96969697,0.862567812,0.957236842,0.829004329,0.72030486
MedKNN,0.831909087,0.648094416,0.603787019,0.602519715,0.7625,0.842642196,0.577373145,0.5,0.5,0.638710692,0.682343997,0.796875,0.509367681,0.629774306,0.666445074,0.564649589,0.557654443,0.899120172,0.658555058,0.558911446,0.667463685,0.516189943,0.627063081,0.547914732,0.599391769,0.932927912,0.666897655,0.546374427,0.616900215,0.571898091,0.520382468,0.693142523,0.797750646,0.504795597,0.78917739,0.963129563,0.687254902,0.92384106,0.612663613,0.731300539,0.592067308,0.835261354,0.699864499,0.768117798,0.570419103,0.516339523,0.653819444,0.745411706,0.50141369,0.510798324,0.61728835,0.749689441,0.791734694,0.668012153,0.80456621,0.763521635,0.828513514,0.650793651,0.765550239,0.759055398,0.993607955,0.798293391,0.789889706,0.751910017,0.773632812,0.763640873,0.787946429,0.700940071,0.712108014,0.736645963,0.546494645,0.50472973,0.698214286,0.794179389,0.518593989,0.813344595,0.851455479,0.749568966,0.823133681,0.514941893,0.783658787,0.806640625,0.541253102,0.536538462,0.6803125,0.995614035,0.912457912,0.775768535,0.860197368,0.785714286,0.696015093
PCA,0.629505149,0.742823584,0.999962772,1,0.57320122,0.634424603,0.998428896,0.720047715,0.540419264,0.620943396,0.601936328,0.562585616,0.739677062,0.890500992,0.736813426,0.559027727,0.53004919,0.865021459,0.553279768,0.674969901,0.802890838,0.823449192,0.7478495,0.937596719,0.672635289,0.821111506,0.589232409,0.597283008,0.572148189,0.571599306,0.58366483,0.631133178,0.643128197,0.607232704,0.813419118,0.956610869,0.655882353,0.817579771,0.673494764,0.838342318,0.602197802,1,0.783875339,0.62637644,0.656798246,0.855543767,0.921296296,0.817956349,0.689583333,0.530246051,0.557693831,0.785803017,0.812857143,0.503428819,0.81826484,0.795673077,0.764054054,0.862433862,0.825358852,0.877130682,0.933238636,0.771604938,0.783823529,0.868138087,0.835546875,0.885416667,0.888640873,0.893360752,0.537456446,0.834782609,0.634371957,0.58033033,0.657608696,0.885496183,0.606724401,0.790540541,0.798373288,0.802586207,0.805121528,0.60320974,0.638232271,0.903125,0.58808933,0.723076923,0.8796875,1,0.96969697,0.650994575,0.549342105,0.662337662,0.739749206
COF,0.746031178,0.553365247,0.625784115,0.622729646,0.766707317,0.774007937,0.519827771,0.521696067,0.504274851,0.604245283,0.645282365,0.897217466,0.559441637,0.533779762,0.562489102,0.518812314,0.549324334,0.784978541,0.787012645,0.574334703,0.675949231,0.570004895,0.524197496,0.501141288,0.69400864,0.872958097,0.549147122,0.522192267,0.518695334,0.52640228,0.526635281,0.558002336,0.828906121,0.511006289,0.834558824,0.561551508,0.542857143,0.87798515,0.528926702,0.617587601,0.524587912,0.670094259,0.558434959,0.503713188,0.568957115,0.512466844,0.607407407,0.553075397,0.578571429,0.566777694,0.595311634,0.62094055,0.669183673,0.661501736,0.805479452,0.545973558,0.604594595,0.971781305,0.55861244,0.513849432,0.949573864,0.740377633,0.562132353,0.542444822,0.5375,0.668402778,0.625,0.527320799,0.578397213,0.68757764,0.505355404,0.539489489,0.580434783,0.559351145,0.533367295,0.521537162,0.627996575,0.544827586,0.599392361,0.509131157,0.823227133,0.540625,0.598635236,0.573076923,0.580625,0.877192982,0.966329966,0.867992767,0.805921053,0.670995671,0.626995581
