model,abalone-17_vs_7-8-9-10,segment0,kr-vs-k-one_vs_fifteen,kr-vs-k-zero_vs_fifteen,poker-8-9_vs_5,abalone-20_vs_8-9-10,shuttle-c0-vs-c4,car-vgood,car-good,abalone-19_vs_10-11-12-13,winequality-red-4,poker-8-9_vs_6,yeast6,yeast5,yeast4,yeast3,yeast1,winequality-white-3-9_vs_5,poker-8_vs_6,kr-vs-k-zero_vs_eight,flare-F,yeast-0-2-5-7-9_vs_3-6-8,yeast-0-2-5-6_vs_3-7-8-9,vowel0,yeast-1-2-8-9_vs_7,winequality-white-3_vs_7,winequality-red-8_vs_6-7,vehicle3,vehicle2,vehicle1,vehicle0,pimaImb,abalone9-18,yeast-1-4-5-8_vs_7,winequality-red-3_vs_5,wisconsinImb,winequality-red-8_vs_6,abalone-21_vs_8,yeast-0-5-6-7-9_vs_4,yeast-2_vs_4,yeast-0-3-5-9_vs_7-8,abalone-3_vs_11,yeast-2_vs_8,page-blocks-1-3_vs_4,yeast-1_vs_7,led7digit-0-2-4-5-6-7-8-9_vs_1,dermatology-6,ecoli4,ecoli3,ecoli2,ecoli1,ecoli-0-1-4-7_vs_2-3-5-6,ecoli-0-1-4-7_vs_5-6,habermanImb,ecoli-0-1-3-7_vs_2-6,ecoli-0-1-4-6_vs_5,ecoli-0-3-4-7_vs_5-6,poker-9_vs_7,ecoli-0-1_vs_2-3-5,ecoli-0-1_vs_5,shuttle-6_vs_2-3,ecoli-0-2-6-7_vs_3-5,ecoli-0-6-7_vs_3-5,ecoli-0_vs_1,ecoli-0-6-7_vs_5,new-thyroid2,new-thyroid1,glass6,glass5,glass4,glass2,glass1,glass0,glass-0-1-2-3_vs_4-5-6,glass-0-1-4-6_vs_2,ecoli-0-3-4-6_vs_5,ecoli-0-4-6_vs_5,ecoli-0-2-3-4_vs_5,ecoli-0-3-4_vs_5,glass-0-1-6_vs_2,glass-0-1-6_vs_5,cleveland-0_vs_4,glass-0-1-5_vs_2,winequality-white-9_vs_4,iris0,lymphography-normal-fibrosis,shuttle-c2-vs-c4,glass-0-6_vs_5,zoo-3,glass-0-4_vs_5,Average
BRM,0.986103731,0.789975226,0.975311904,0.989417479,0.992218823,0.991825925,0.93768608,0.966195497,0.961464534,0.984609299,0.977658401,0.989907423,0.969767901,0.977836507,0.975548686,0.908272253,0.732319321,0.990755701,0.991817933,0.978951062,0.972820756,0.883450358,0.926353775,0.892053575,0.973608542,0.987657619,0.982753418,0.78380747,0.556052156,0.78614588,0.76650894,0.744250539,0.962243086,0.95145134,0.989617082,0.796712209,0.980963706,0.986262862,0.917072638,0.936296578,0.900708935,0.681568503,0.973299785,0.961922121,0.929969873,0.925204444,0.954123965,0.960423144,0.884740768,0.842600228,0.827822793,0.944662742,0.951070954,0.798796261,0.985138632,0.950784788,0.940575053,0.956009094,0.936418015,0.947352307,0.975141175,0.940924428,0.93982331,0.856864907,0.941204352,0.858181064,0.901200516,0.904832483,0.963413215,0.964782868,0.912065826,0.607759331,0.622974054,0.850303848,0.909708814,0.936830916,0.937779638,0.934881144,0.938376222,0.910385606,0.96651472,0.953133926,0.885847878,0.956444205,0.514051546,0.97359631,0.979760853,0.944202494,0.96501554,0.928271218,0.910791011
GM,0.986006294,0.756161598,0.982248874,0.99370464,0.895219654,0.992654095,0.964932181,0.968843252,0.966028191,0.984032943,0.973293609,0.932164617,0.983398999,0.982065824,0.977153597,0.917680147,0.684178818,0.990339529,0.922121,0.988446926,0.976093379,0.93770149,0.932615624,0.945691212,0.975286643,0.987291495,0.970720746,0.771423759,0.645656151,0.726363424,0.819138448,0.7313738,0.966965698,0.963688199,0.989957402,0.797834954,0.971810295,0.986504066,0.933159125,0.941062245,0.922064188,0.983055113,0.962849974,0.926140257,0.950132739,0.885945527,0.965065641,0.96474226,0.915870589,0.870043054,0.815296677,0.946373613,0.955102223,0.758098034,0.984576452,0.954534311,0.939494408,0.981661552,0.939170614,0.948667057,0.974028221,0.940794369,0.936779547,0.886613519,0.943778637,0.901105002,0.900643774,0.9181734,0.95677056,0.962470812,0.922444632,0.590971079,0.501079875,0.86072947,0.93017041,0.935889344,0.936384189,0.934661754,0.936741345,0.924688454,0.957444513,0.953116141,0.921467481,0.977139527,0.690313826,0.978369366,0.979659843,0.926467136,0.967363417,0.907994042,0.91593501
IF,0.984619349,0.603524683,0.982224231,0.993704513,0.954658433,0.99052679,0.965009077,0.958870189,0.975238802,0.97902456,0.971522321,0.972400929,0.984293429,0.983478784,0.978034449,0.917019914,0.704132852,0.990469985,0.869686585,0.988624163,0.975601316,0.938410412,0.935793708,0.950815502,0.973895376,0.98633294,0.978944972,0.808694654,0.549744762,0.775104139,0.7437931,0.741515841,0.961998052,0.961710966,0.990421569,0.798556446,0.978629284,0.986449662,0.928742516,0.942407988,0.91755599,0.983527671,0.970911196,0.966668266,0.942457487,0.900284844,0.965084725,0.963766278,0.912438284,0.851955602,0.834668932,0.945024205,0.953549203,0.788719459,0.984216558,0.954963466,0.938529424,0.981649602,0.941171846,0.950806972,0.974620904,0.941934314,0.934440704,0.908344949,0.941638944,0.900444827,0.902481119,0.917816235,0.966911384,0.964428005,0.882577399,0.636534524,0.552125566,0.861630773,0.87819592,0.940350642,0.938731905,0.94055843,0.937330479,0.870714152,0.964892226,0.956252631,0.853545774,0.972479446,0.635367316,0.97857268,0.979859863,0.939855739,0.960661504,0.931771725,0.91408497
OCSVM,0.980400865,0.674423699,0.982244137,0.99370464,0.89240448,0.989213325,0.964613189,0.930891813,0.956662261,0.973384434,0.974933229,0.824976916,0.985391346,0.983793581,0.978928061,0.91003582,0.689884719,0.990374939,0.740180042,0.987552611,0.974349448,0.943102546,0.937587988,0.950820987,0.976759448,0.986313724,0.979270218,0.790955893,0.698452139,0.761615702,0.731400386,0.699777486,0.95861747,0.962278512,0.990052215,0.781063227,0.978123448,0.986081853,0.933571655,0.943720154,0.920124909,0.983613445,0.958925998,0.901349945,0.950716285,0.867585698,0.963827499,0.960682587,0.915468069,0.812125189,0.815980294,0.943224192,0.953169956,0.756803595,0.984394646,0.952746301,0.937089649,0.980856955,0.938677909,0.949046576,0.97373071,0.940430967,0.937227634,0.839264008,0.945040123,0.903676598,0.905474026,0.919648659,0.800898784,0.963347474,0.882889928,0.648824004,0.570472734,0.85047237,0.867169158,0.936363785,0.937074457,0.935225908,0.936605817,0.867072513,0.810131316,0.953221978,0.769429794,0.975596239,0.731215192,0.978592433,0.979659843,0.745884871,0.523849925,0.873164151,0.896844152
EE,0.986626417,0.728168708,0.978494222,0.99370464,0.898882613,0.99282703,0.96490151,0.963466387,0.966827262,0.986609211,0.974879176,0.973538277,0.98241997,0.980837276,0.974133899,0.90832877,0.716603992,0.990175093,0.963070534,0.972286895,0.977186216,0.932703252,0.925740678,0.947921097,0.97051808,0.98725501,0.968778236,0.815804703,0.557257812,0.797542299,0.786342147,0.741870848,0.96789837,0.960930747,0.989639299,0.798475391,0.966688337,0.986725796,0.929997964,0.939684871,0.918836237,0.983349445,0.964701574,0.967681977,0.945031294,0.882695656,0.964603067,0.965686732,0.892068839,0.903426567,0.795408103,0.946495806,0.953549535,0.813484841,0.98454394,0.956354393,0.940556781,0.97832797,0.940128086,0.949959743,0.972867939,0.941151679,0.937910158,0.870990004,0.943514949,0.898479743,0.901907839,0.9250363,0.969448813,0.963485499,0.919737133,0.537382452,0.530249327,0.867704118,0.919984875,0.940577902,0.939802408,0.93978916,0.939893145,0.907477475,0.963903984,0.958311906,0.909829502,0.975659725,0.654182661,0.978034557,0.979864633,0.940120724,0.912561576,0.938407662,0.91634335
AvgKNN,0.824535764,0.90229697,0.913387789,0.773120206,0.890980423,0.85742986,0.876108644,0.962373372,0.960202605,0.967108376,0.90690408,0.811901768,0.974854315,0.939562796,0.937200833,0.883129985,0.665653708,0.661443219,0.972080457,0.94468003,0.907279177,0.856457043,0.809023973,0.913333256,0.943958426,0.502616771,0.950876675,0.739902635,0.766318841,0.71145319,0.747838444,0.525116692,0.757134427,0.95475326,0.957080772,0.944952625,0.938614037,0.59479064,0.842171351,0.765065019,0.853225283,0.973829662,0.718501203,0.704741001,0.910037701,0.906494686,0.907503557,0.852888521,0.884045819,0.845000864,0.670299948,0.785991487,0.767528355,0.567662346,0.901451841,0.822456032,0.718734473,0.524029384,0.71582041,0.793211313,0.760267857,0.588859629,0.74442556,0.510997111,0.707650153,0.559835708,0.508273364,0.732175379,0.926296113,0.722135176,0.93230703,0.636957214,0.767555769,0.641651006,0.922927327,0.781537923,0.653194131,0.742085672,0.696033279,0.913637938,0.823527038,0.71251379,0.883904567,0.959049202,0.73751871,0.95,0.662698413,0.702200577,0.597916667,0.646643394,0.796688023
LargestKNN,0.830634046,0.907632491,0.923166745,0.908189516,0.846047036,0.877540425,0.870033252,0.962373372,0.960202605,0.965359661,0.928618641,0.719470252,0.97155512,0.932468661,0.942696208,0.888940306,0.676901121,0.669131693,0.971583514,0.954930293,0.906725078,0.813786401,0.793542936,0.904268766,0.939291689,0.563519331,0.966373994,0.735161844,0.76785751,0.703729569,0.746999102,0.521950954,0.764432538,0.956458149,0.967196294,0.949911251,0.947062347,0.579207407,0.826099622,0.766218545,0.850209563,0.92469623,0.629444843,0.665885633,0.908067473,0.90508286,0.90603677,0.865850498,0.887124347,0.841253883,0.673370403,0.79046559,0.762254909,0.562789222,0.823630573,0.818356848,0.73458376,0.916666667,0.70639788,0.782726547,0.760267857,0.537799912,0.750904792,0.510521515,0.704234981,0.502165174,0.52372475,0.740701992,0.930871637,0.51262666,0.934877578,0.647326938,0.768396888,0.665421632,0.92511599,0.799578817,0.65091307,0.721394393,0.734629121,0.917580546,0.825206442,0.551124431,0.888358749,0.953673261,0.740828249,0.916666667,0.616666667,0.683109901,0.55,0.694533086,0.793793161
MedKNN,0.824319573,0.897963725,0.918061429,0.775211691,0.895033162,0.855898421,0.880673913,0.962373372,0.960202605,0.968096722,0.9078492,0.839653569,0.976160878,0.939655758,0.934443361,0.881548801,0.663617235,0.68258849,0.969581706,0.940788855,0.916413379,0.867815176,0.81415553,0.915238297,0.94619682,0.501003836,0.948662031,0.742577566,0.765947759,0.715486686,0.751489815,0.523086372,0.75499588,0.954392946,0.95783255,0.932821302,0.938038277,0.583247976,0.856626638,0.771265499,0.853646427,0.98091038,0.745937453,0.731101592,0.914583185,0.914617333,0.903717812,0.84086782,0.883559301,0.84467626,0.666541882,0.783394471,0.766823807,0.572085903,0.916336575,0.815659586,0.712806977,0.57776409,0.706300791,0.794015412,0.81359127,0.609374264,0.738526277,0.514758158,0.72086261,0.587985802,0.556132084,0.729207433,0.915145265,0.797539683,0.926727761,0.6323003,0.760717622,0.566218169,0.921485733,0.765707693,0.660056842,0.771294254,0.704366931,0.911757141,0.827777848,0.77669151,0.877501803,0.95783112,0.731383227,0.9,0.755555556,0.723572063,0.760483871,0.652289377,0.803591172
PCA,0.902131177,0.908097705,0.99895061,1,0.949713943,0.952144005,0.936581657,0.931182887,0.959844384,0.984495179,0.932252805,0.95071078,0.949882636,0.876185859,0.931245983,0.885956563,0.726200888,0.755132434,0.987379734,0.971861823,0.832538143,0.693321359,0.678160391,0.556744253,0.938196579,0.627188589,0.967638887,0.711597004,0.727462412,0.710650705,0.76271817,0.529912639,0.883741876,0.943705705,0.953794229,0.957731284,0.950397743,0.585622626,0.842066129,0.711747718,0.819849311,1,0.70111613,0.700987081,0.875146564,0.713446286,0.618016454,0.761552071,0.831391639,0.852889199,0.757875837,0.582002765,0.562998253,0.682989541,0.695533116,0.768357263,0.715562047,0.814289986,0.592525613,0.573467318,0.55913107,0.605533116,0.687841167,0.533215866,0.634444774,0.539517731,0.501182391,0.584779715,0.950644001,0.617823835,0.939169982,0.672304356,0.753493453,0.646026,0.932469088,0.773331351,0.702052939,0.646498991,0.698586918,0.928095563,0.902447342,0.553865868,0.903468893,0.935454545,0.675785473,1,0.616666667,0.726634131,0.894426407,0.794156034,0.784265907
COF,0.933319944,0.878761744,0.969243948,0.844339947,0.951363734,0.933228484,0.905723047,0.9505164,0.961201485,0.971311831,0.929757881,0.82868523,0.979578971,0.96456555,0.953201776,0.885278919,0.673724801,0.831440811,0.960499869,0.972409435,0.934944225,0.904906029,0.887352019,0.851247906,0.88422459,0.734654811,0.980991625,0.749033143,0.746713859,0.72825933,0.757978077,0.598522607,0.738487124,0.952529345,0.95136792,0.706900205,0.969260543,0.800799731,0.878581834,0.860051169,0.905747208,0.952193706,0.926408179,0.927292911,0.912847006,0.888758578,0.950852785,0.94675053,0.903110351,0.861504411,0.671123997,0.880384655,0.878922167,0.615094147,0.818994709,0.921910942,0.866072086,0.571943748,0.826681488,0.894292455,0.686987697,0.689109236,0.866786439,0.614527667,0.841453689,0.638368312,0.712642937,0.749569885,0.931363501,0.773683394,0.92239324,0.635657523,0.725489008,0.531056669,0.906865125,0.896193948,0.840261086,0.846651298,0.83546984,0.9020336,0.850491814,0.911434445,0.861360196,0.958211274,0.551527091,0.695833333,0.634920635,0.647494564,0.862770563,0.661725106,0.835535323
