model,abalone-17_vs_7-8-9-10,segment0,kr-vs-k-one_vs_fifteen,kr-vs-k-zero_vs_fifteen,poker-8-9_vs_5,abalone-20_vs_8-9-10,shuttle-c0-vs-c4,car-vgood,car-good,abalone-19_vs_10-11-12-13,winequality-red-4,poker-8-9_vs_6,yeast6,yeast5,yeast4,yeast3,yeast1,winequality-white-3-9_vs_5,poker-8_vs_6,kr-vs-k-zero_vs_eight,flare-F,yeast-0-2-5-7-9_vs_3-6-8,yeast-0-2-5-6_vs_3-7-8-9,vowel0,yeast-1-2-8-9_vs_7,winequality-white-3_vs_7,winequality-red-8_vs_6-7,vehicle3,vehicle2,vehicle1,vehicle0,pimaImb,abalone9-18,yeast-1-4-5-8_vs_7,winequality-red-3_vs_5,wisconsinImb,winequality-red-8_vs_6,abalone-21_vs_8,yeast-0-5-6-7-9_vs_4,yeast-2_vs_4,yeast-0-3-5-9_vs_7-8,abalone-3_vs_11,yeast-2_vs_8,page-blocks-1-3_vs_4,yeast-1_vs_7,led7digit-0-2-4-5-6-7-8-9_vs_1,dermatology-6,ecoli4,ecoli3,ecoli2,ecoli1,ecoli-0-1-4-7_vs_2-3-5-6,ecoli-0-1-4-7_vs_5-6,habermanImb,ecoli-0-1-3-7_vs_2-6,ecoli-0-1-4-6_vs_5,ecoli-0-3-4-7_vs_5-6,poker-9_vs_7,ecoli-0-1_vs_2-3-5,ecoli-0-1_vs_5,shuttle-6_vs_2-3,ecoli-0-2-6-7_vs_3-5,ecoli-0-6-7_vs_3-5,ecoli-0_vs_1,ecoli-0-6-7_vs_5,new-thyroid2,new-thyroid1,glass6,glass5,glass4,glass2,glass1,glass0,glass-0-1-2-3_vs_4-5-6,glass-0-1-4-6_vs_2,ecoli-0-3-4-6_vs_5,ecoli-0-4-6_vs_5,ecoli-0-2-3-4_vs_5,ecoli-0-3-4_vs_5,glass-0-1-6_vs_2,glass-0-1-6_vs_5,cleveland-0_vs_4,glass-0-1-5_vs_2,winequality-white-9_vs_4,iris0,lymphography-normal-fibrosis,shuttle-c2-vs-c4,glass-0-6_vs_5,zoo-3,glass-0-4_vs_5,Average
BRM,0.831152269,0.682690853,0.644630791,0.723078614,0.756097561,0.817427249,0.605030496,0.542813765,0.52483387,0.62254717,0.669919544,0.789469178,0.528626895,0.625992063,0.694463819,0.556480605,0.547711163,0.908154506,0.62118019,0.582970067,0.677243636,0.547450871,0.647685153,0.52638502,0.623180991,0.920276989,0.675159915,0.563740765,0.598868892,0.579218332,0.520467623,0.682803738,0.787713799,0.513915094,0.724264706,0.972819114,0.658683473,0.936584387,0.62526178,0.72190027,0.57864011,0.746358183,0.81046748,0.769654289,0.568226121,0.562599469,0.690509259,0.713045635,0.547767857,0.507252606,0.642512077,0.756344277,0.77877551,0.686154514,0.779908676,0.766526442,0.821891892,0.67372134,0.763157895,0.740767045,0.994318182,0.81771968,0.807720588,0.728919072,0.763671875,0.817708333,0.863343254,0.699764982,0.739547038,0.906832298,0.570593963,0.524774775,0.718012422,0.824618321,0.51757514,0.804476351,0.868578767,0.78362069,0.788628472,0.501383509,0.860226105,0.76484375,0.549007444,0.594230769,0.669375,0.934210526,0.898989899,0.743218807,0.878289474,0.794372294,0.704574974
GM,0.830913902,0.713068271,0.999944158,1,0.707804878,0.874603175,0.996613234,0.55615963,0.546852093,0.602704403,0.592447165,0.627910959,0.674596327,0.797941468,0.693591979,0.614875191,0.536045901,0.859184549,0.536354057,0.764271184,0.79643679,0.749912581,0.691656759,0.797121634,0.644326967,0.866921165,0.529637527,0.519017775,0.549583276,0.534469484,0.623894505,0.669088785,0.822911511,0.584748428,0.759650735,0.976004719,0.587254902,0.923138671,0.685798429,0.798854447,0.616208791,0.955441302,0.781165312,0.679897567,0.639498051,0.510079576,0.793518519,0.866319444,0.590178571,0.597292361,0.594440485,0.781011535,0.832244898,0.591536458,0.824657534,0.786658654,0.799189189,0.964726631,0.799342105,0.823153409,0.909090909,0.801016703,0.754411765,0.799943407,0.8140625,0.830357143,0.822172619,0.850763807,0.557491289,0.827950311,0.570593963,0.587387387,0.669254658,0.884160305,0.510443199,0.766469595,0.783390411,0.7625,0.80078125,0.50968456,0.634121274,0.80625,0.522952854,0.738461538,0.5053125,0.984649123,0.96969697,0.643761302,0.957236842,0.731601732,0.73076491
OCKRA,0.8418788138825324,0.7645636023433391,0.982754127654822,0.9000906767785014,0.7607317073170732,0.8714285714285714,0.747319119292707,0.5417871602082128,0.6052750565184627,0.6437421383647799,0.5676175077953574,0.7964469178082192,0.5451127819548871,0.7696428571428572,0.6407367044463819,0.5421148388035806,0.5,0.9003004291845493,0.830413593256059,0.5655332752106945,0.7913670358118798,0.7162388978250227,0.6688404783551297,0.6001044568245126,0.6168144611186903,0.8686079545454546,0.5866737739872068,0.570743321312279,0.6432316710170811,0.5549018030545052,0.5365375959514859,0.6940070093457944,0.8087224330418523,0.5319182389937107,0.7775735294117647,0.9702381830248507,0.6687675070028012,0.9139072847682119,0.5980366492146597,0.7390835579514825,0.6135989010989011,0.6315338474721509,0.8147018970189702,0.8354673495518566,0.5704191033138402,0.5161273209549071,0.820138888888889,0.5,0.543452380952381,0.5374449339207048,0.5,0.5,0.5,0.5,0.7963470319634702,0.5,0.8378378378378378,0.9938271604938271,0.7616626794258373,0.5,0.9893465909090908,0.840958605664488,0.7308823529411765,0.786502546689304,0.5,0.5,0.5,0.867508813160987,0.7456445993031359,0.9093167701863354,0.5949367088607596,0.5447447447447447,0.748136645962733,0.8851145038167939,0.5985736118186449,0.8141891891891893,0.5,0.7918103448275862,0.8693576388888888,0.5832872163807415,0.8386433710174718,0.87734375,0.5477667493796526,0.7596153846153846,0.5,0.6271929824561403,0.9730639730639731,0.8264014466546112,0.8618421052631579,0.7878787878787878,0.6982936054279703
OCSVM,0.662340294,0.684129619,0.858859334,0.938010057,0.633658537,0.623214286,0.995301511,0.582229612,0.51990135,0.612735849,0.579416407,0.519349315,0.756810058,0.901066468,0.7413034,0.533891274,0.529192517,0.773347639,0.664712856,0.612903226,0.75961815,0.835950066,0.760280439,0.761238781,0.65285357,0.81303267,0.584221748,0.547821622,0.596602097,0.522885807,0.562376069,0.649135514,0.618819777,0.587421384,0.556985294,0.945579235,0.589495798,0.883604254,0.710209424,0.844811321,0.618475275,0.981148243,0.793360434,0.705889885,0.639863548,0.525039788,0.938657407,0.790178571,0.563095238,0.545395939,0.624693118,0.724223602,0.77755102,0.529991319,0.810958904,0.75,0.776486486,0.9664903,0.781698565,0.826349432,1,0.803195352,0.767279412,0.746179966,0.820703125,0.813988095,0.814484127,0.811692127,0.635888502,0.857763975,0.710321324,0.512312312,0.662111801,0.795038168,0.712175242,0.782094595,0.798373288,0.768103448,0.80078125,0.695628113,0.501541624,0.65078125,0.720843672,0.728846154,0.681875,0.912280702,0.95959596,0.506329114,0.648026316,0.545454545,0.714872803
EE,0.895070557,0.703061761,0.919131471,0.991784134,0.715945122,0.920502646,0.992818871,0.539256796,0.655463451,0.697044025,0.619779035,0.581078767,0.620947861,0.704141865,0.621054926,0.540091696,0.516915839,0.842360515,0.597010011,0.662971727,0.790953545,0.684680747,0.62808588,0.84370164,0.581912233,0.868164063,0.513113006,0.597154628,0.631382516,0.646628897,0.580672238,0.680432243,0.86245394,0.55927673,0.754136029,0.989366566,0.516246499,0.959462171,0.66145288,0.772506739,0.597802198,0.978791774,0.786246612,0.930345711,0.607821637,0.504244032,0.942824074,0.920882937,0.539880952,0.7900505,0.529025105,0.799112689,0.805918367,0.707508681,0.823744292,0.859074519,0.856756757,0.97707231,0.827751196,0.880326705,0.921875,0.814814815,0.778676471,0.75565931,0.8359375,0.842757937,0.877728175,0.962690952,0.743902439,0.863975155,0.536027264,0.617567568,0.755745342,0.965648855,0.516046867,0.885135135,0.868578767,0.869827586,0.887586806,0.528500277,0.790339157,0.8578125,0.532258065,0.732692308,0.5609375,0.981359649,0.95959596,0.759493671,0.799342105,0.880952381,0.753409565
AvgKNN,0.856073608,0.674793252,0.691072725,0.607328332,0.823536585,0.860019841,0.688243402,0.5,0.5,0.664559748,0.570697155,0.855008562,0.513666338,0.651587302,0.670313862,0.565682993,0.558450665,0.810772532,0.739495522,0.575372608,0.683463972,0.576141688,0.640464368,0.546908852,0.624886312,0.889026989,0.524840085,0.652521504,0.560825663,0.555499374,0.669196988,0.59807243,0.855359402,0.505424528,0.570772059,0.975857238,0.540756303,0.938992575,0.657460733,0.767318059,0.604773352,0.811482434,0.799457995,0.843661972,0.553667154,0.553687003,0.569560185,0.755208333,0.504613095,0.524443967,0.621842084,0.757941437,0.809387755,0.656770833,0.798173516,0.769831731,0.836216216,0.925044092,0.778110048,0.788352273,0.997159091,0.833696442,0.791911765,0.761035654,0.803515625,0.713789683,0.784722222,0.663924794,0.783101045,0.913043478,0.541869523,0.502102102,0.734627329,0.836832061,0.534895568,0.800253378,0.859589041,0.766810345,0.834201389,0.536247925,0.858170606,0.65234375,0.50248139,0.580769231,0.6734375,0.986842105,0.95959596,0.884267631,0.921052632,0.887445887,0.709693609
LargestKNN,0.873534039,0.713543856,0.688020029,0.544857528,0.835868902,0.862384259,0.722363029,0.5,0.5,0.672688679,0.519892597,0.778210616,0.547346851,0.687065972,0.651449433,0.543959683,0.542398408,0.772682403,0.658752634,0.512807739,0.679670646,0.641146234,0.644267082,0.523638193,0.630258072,0.849564986,0.510021322,0.668271419,0.559388881,0.563537848,0.672487622,0.590811916,0.852692075,0.507822327,0.553883272,0.979116584,0.508823529,0.929560506,0.686354712,0.76819407,0.619917582,0.79991431,0.833333333,0.84737516,0.546844542,0.554854111,0.63599537,0.751240079,0.517410714,0.54399914,0.631266334,0.741348713,0.80122449,0.657725694,0.794977169,0.766376202,0.83027027,0.912257496,0.792314593,0.802911932,0.999289773,0.870007262,0.763602941,0.76344086,0.8109375,0.783606151,0.818204365,0.669065805,0.764372822,0.919875776,0.563047712,0.519069069,0.727484472,0.837977099,0.53744269,0.778716216,0.86322774,0.796336207,0.8203125,0.512174875,0.870503597,0.66484375,0.512406948,0.532692308,0.72359375,0.989035088,0.95959596,0.911392405,0.916118421,0.893939394,0.710235652
MedKNN,0.840394975,0.638037466,0.569844387,0.671337895,0.788734756,0.858779762,0.660463772,0.5,0.5,0.661305031,0.592129576,0.876369863,0.515638481,0.626488095,0.672199215,0.569445455,0.559058627,0.796309013,0.761689937,0.641549383,0.6603085,0.52369921,0.619824813,0.557315846,0.597118008,0.895818537,0.535341151,0.63640979,0.561684297,0.551408313,0.652062577,0.600636682,0.849612275,0.508058176,0.610179228,0.962650247,0.565896359,0.941300421,0.617081152,0.733052561,0.590590659,0.928877464,0.705877371,0.84084507,0.550925926,0.516339523,0.541087963,0.747271825,0.505282738,0.513753089,0.615348064,0.753682343,0.795510204,0.641189236,0.779908676,0.764873798,0.828108108,0.920194004,0.766447368,0.768643466,0.992897727,0.7986565,0.793198529,0.756013016,0.778515625,0.660218254,0.722470238,0.672884841,0.804442509,0.778881988,0.539191821,0.517717718,0.715838509,0.797996183,0.540753948,0.811021959,0.84952911,0.750646552,0.82421875,0.548699502,0.854573484,0.638671875,0.5058933,0.599038462,0.64125,0.986842105,0.885521886,0.855334539,0.856907895,0.902597403,0.699271277
PCA,0.629505149,0.742823584,0.999962772,1,0.57320122,0.634424603,0.998428896,0.720047715,0.540419264,0.620943396,0.601936328,0.562585616,0.739677062,0.890500992,0.736813426,0.559027727,0.53004919,0.865021459,0.553279768,0.674969901,0.803016683,0.823449192,0.7478495,0.937596719,0.672635289,0.821111506,0.589232409,0.597283008,0.572148189,0.571599306,0.58366483,0.631133178,0.643128197,0.607232704,0.813419118,0.956610869,0.655882353,0.817579771,0.673494764,0.838342318,0.602197802,1,0.783875339,0.62637644,0.656798246,0.855543767,0.921296296,0.817956349,0.689583333,0.530246051,0.557693831,0.785803017,0.812857143,0.503428819,0.81826484,0.795673077,0.764054054,0.862433862,0.825358852,0.877130682,0.933238636,0.771604938,0.783823529,0.868138087,0.835546875,0.885416667,0.888640873,0.893360752,0.537456446,0.834782609,0.634371957,0.58033033,0.657608696,0.885496183,0.606724401,0.790540541,0.798373288,0.802586207,0.805121528,0.60320974,0.638232271,0.903125,0.58808933,0.723076923,0.8796875,1,0.96969697,0.650994575,0.549342105,0.662337662,0.739750604
COF,0.767663043,0.564445427,0.568843884,0.51908334,0.777073171,0.827281746,0.53487924,0.521696067,0.504274851,0.615,0.556145821,0.919563356,0.515962036,0.57046131,0.556517001,0.509045921,0.543344894,0.712875536,0.855769231,0.556897912,0.702987919,0.54356948,0.503286943,0.522226091,0.67689859,0.773348722,0.619296375,0.58861151,0.509112973,0.504901228,0.565551136,0.509889019,0.811142276,0.508018868,0.562270221,0.590162967,0.669327731,0.842464379,0.570746073,0.626886792,0.545535714,0.742287918,0.512025745,0.599871959,0.601364522,0.512466844,0.512962963,0.550347222,0.579017857,0.56419899,0.587075315,0.621650399,0.644897959,0.624479167,0.7543379,0.546875,0.603513514,0.735449735,0.54395933,0.5078125,0.9609375,0.727305737,0.576102941,0.534663271,0.587109375,0.619295635,0.585069444,0.526439483,0.635017422,0.654658385,0.539922103,0.563513514,0.58121118,0.561641221,0.516556291,0.516891892,0.626284247,0.546982759,0.593315972,0.565024903,0.896197328,0.57734375,0.580645161,0.501923077,0.6028125,0.910087719,0.95959596,0.918625678,0.878289474,0.777056277,0.624535265
