model,abalone-17_vs_7-8-9-10,segment0,kr-vs-k-one_vs_fifteen,kr-vs-k-zero_vs_fifteen,poker-8-9_vs_5,abalone-20_vs_8-9-10,shuttle-c0-vs-c4,car-vgood,car-good,abalone-19_vs_10-11-12-13,winequality-red-4,poker-8-9_vs_6,yeast6,yeast5,yeast4,yeast3,yeast1,winequality-white-3-9_vs_5,poker-8_vs_6,kr-vs-k-zero_vs_eight,flare-F,yeast-0-2-5-7-9_vs_3-6-8,yeast-0-2-5-6_vs_3-7-8-9,vowel0,yeast-1-2-8-9_vs_7,winequality-white-3_vs_7,winequality-red-8_vs_6-7,vehicle3,vehicle2,vehicle1,vehicle0,pimaImb,abalone9-18,yeast-1-4-5-8_vs_7,winequality-red-3_vs_5,wisconsinImb,winequality-red-8_vs_6,abalone-21_vs_8,yeast-0-5-6-7-9_vs_4,yeast-2_vs_4,yeast-0-3-5-9_vs_7-8,abalone-3_vs_11,yeast-2_vs_8,page-blocks-1-3_vs_4,yeast-1_vs_7,led7digit-0-2-4-5-6-7-8-9_vs_1,dermatology-6,ecoli4,ecoli3,ecoli2,ecoli1,ecoli-0-1-4-7_vs_2-3-5-6,ecoli-0-1-4-7_vs_5-6,habermanImb,ecoli-0-1-3-7_vs_2-6,ecoli-0-1-4-6_vs_5,ecoli-0-3-4-7_vs_5-6,poker-9_vs_7,ecoli-0-1_vs_2-3-5,ecoli-0-1_vs_5,shuttle-6_vs_2-3,ecoli-0-2-6-7_vs_3-5,ecoli-0-6-7_vs_3-5,ecoli-0_vs_1,ecoli-0-6-7_vs_5,new-thyroid2,new-thyroid1,glass6,glass5,glass4,glass2,glass1,glass0,glass-0-1-2-3_vs_4-5-6,glass-0-1-4-6_vs_2,ecoli-0-3-4-6_vs_5,ecoli-0-4-6_vs_5,ecoli-0-2-3-4_vs_5,ecoli-0-3-4_vs_5,glass-0-1-6_vs_2,glass-0-1-6_vs_5,cleveland-0_vs_4,glass-0-1-5_vs_2,winequality-white-9_vs_4,iris0,lymphography-normal-fibrosis,shuttle-c2-vs-c4,glass-0-6_vs_5,zoo-3,glass-0-4_vs_5,Average
BRM,0.829698227,0.675780452,0.707508888,0.681449729,0.750243902,0.83478836,0.589037847,0.510309427,0.520147976,0.637201258,0.679620433,0.841780822,0.514575373,0.647147817,0.669877942,0.563241394,0.553020463,0.885407725,0.725829821,0.585668618,0.668326622,0.553045668,0.645447234,0.548262922,0.603967713,0.912109375,0.641257996,0.543911861,0.629447726,0.579436675,0.50558982,0.690338785,0.777209481,0.512735849,0.801240809,0.971226311,0.689215686,0.922536625,0.592735602,0.739150943,0.612637363,0.75428449,0.737974255,0.777848912,0.587353801,0.530238727,0.572916667,0.756200397,0.532440476,0.50714516,0.622079671,0.759893523,0.775918367,0.699869792,0.764383562,0.73046875,0.796486486,0.841269841,0.746411483,0.779829545,0.992897727,0.807189542,0.74375,0.733870968,0.75546875,0.826884921,0.85515873,0.702996475,0.672473868,0.934782609,0.575949367,0.521621622,0.732763975,0.829198473,0.518593989,0.767736486,0.859160959,0.779741379,0.832465278,0.503043719,0.798561151,0.7703125,0.505583127,0.665384615,0.686875,0.969298246,0.966329966,0.853526221,0.861842105,0.80952381,0.707201856
GM,0.830842391,0.713037045,0.999944158,1,0.707804878,0.874437831,0.996613234,0.55615963,0.546852093,0.602830189,0.592389421,0.627910959,0.674596327,0.797941468,0.693591979,0.614875191,0.536045901,0.864377682,0.536354057,0.764271184,0.79643679,0.749877614,0.691656759,0.797121634,0.644326967,0.871271307,0.531343284,0.519064459,0.549571828,0.534389041,0.62380935,0.669088785,0.822746521,0.584748428,0.759880515,0.976004719,0.579831933,0.922937989,0.685732984,0.798854447,0.616277473,0.955441302,0.781165312,0.679897567,0.639498051,0.510079576,0.793518519,0.866319444,0.590327381,0.597292361,0.594440485,0.781011535,0.832244898,0.591536458,0.824657534,0.786658654,0.799189189,0.964726631,0.799342105,0.823153409,0.909801136,0.801016703,0.754411765,0.799943407,0.8140625,0.830357143,0.822172619,0.854582844,0.537456446,0.82484472,0.511684518,0.587987988,0.68742236,0.886450382,0.565461029,0.766469595,0.783390411,0.7625,0.80078125,0.5644715,0.612538541,0.80625,0.611662531,0.782692308,0.5053125,0.984649123,0.96969697,0.640144665,0.957236842,0.712121212,0.73237691
IF,0.734220061,0.797004292,0.991874988,0.998626109,0.622164634,0.747486772,0.997976834,0.601185656,0.521819552,0.547641509,0.597913539,0.641309932,0.746641193,0.871924603,0.703683522,0.596106542,0.526118166,0.883862661,0.51587197,0.796778345,0.75778441,0.772606476,0.724473739,0.944192974,0.645009095,0.82253196,0.531556503,0.579006337,0.614953977,0.514381917,0.56451711,0.662336449,0.684045537,0.564937107,0.796185662,0.988953617,0.630532213,0.915713426,0.650981675,0.814420485,0.604807692,0.990788346,0.772865854,0.866837388,0.592227096,0.564403183,0.834259259,0.842013889,0.5625,0.525303535,0.638473113,0.741969831,0.832653061,0.653689236,0.816438356,0.805588942,0.788378378,0.964726631,0.82715311,0.87109375,0.955965909,0.821350763,0.760661765,0.816496887,0.83125,0.840029762,0.879712302,0.8539953,0.641986063,0.898757764,0.635345667,0.576276276,0.724068323,0.901908397,0.55272542,0.814611486,0.836900685,0.805172414,0.850694444,0.579966796,0.734840699,0.88671875,0.581885856,0.759615385,0.580625,0.997807018,0.973063973,0.737793852,0.743421053,0.796536797,0.745396522
OCSVM,0.745792811,0.772735024,1,1,0.625121951,0.768683862,0.997169049,0.501474841,0.529917106,0.513899371,0.624841206,0.582833904,0.717213115,0.846378968,0.692218832,0.572818572,0.531835077,0.843004292,0.57402529,0.695894051,0.80179419,0.786453598,0.720627317,0.93394073,0.66530241,0.822088068,0.549466951,0.549070411,0.524270733,0.500672267,0.522511344,0.617453271,0.749986251,0.603694969,0.812270221,0.952953322,0.61232493,0.895645194,0.658835079,0.821495957,0.621565934,0.99571551,0.775406504,0.672599232,0.658260234,0.615862069,0.949305556,0.837301587,0.521428571,0.518749328,0.593648531,0.763265306,0.816326531,0.608116319,0.81826484,0.777043269,0.799459459,0.925925926,0.792165072,0.839488636,0.982244318,0.802469136,0.767647059,0.747453311,0.8203125,0.870039683,0.887896825,0.846650999,0.532229965,0.877639752,0.612950341,0.52957958,0.69052795,0.873473282,0.593988793,0.793496622,0.81635274,0.784482759,0.841579861,0.596568899,0.630010277,0.81875,0.565136476,0.717307692,0.64,1,0.96969697,0.616636528,0.657894737,0.642857143,0.72958319
EE,0.8938668,0.674939771,0.910652793,0.996263018,0.711189024,0.921494709,0.992818871,0.530711394,0.69800644,0.701792453,0.621915541,0.581892123,0.608930112,0.762202381,0.602593723,0.551670184,0.553597336,0.838969957,0.600829821,0.799684477,0.873813462,0.685047905,0.632491783,0.84370164,0.580206912,0.867986506,0.514605544,0.59566075,0.634794157,0.580930601,0.50447064,0.680724299,0.862728923,0.558883648,0.754365809,0.986785635,0.516526611,0.961870359,0.654450262,0.770148248,0.600858516,0.977720651,0.783705962,0.930345711,0.584673489,0.520689655,0.963425926,0.915178571,0.55014881,0.824433222,0.521422349,0.795740905,0.833265306,0.707508681,0.820091324,0.846754808,0.853513514,0.783068783,0.824162679,0.87109375,0.982954545,0.803921569,0.785294118,0.767402377,0.820703125,0.844494048,0.877728175,0.962984724,0.736062718,0.865838509,0.558909445,0.606906907,0.759627329,0.965648855,0.516046867,0.866554054,0.859589041,0.875862069,0.88671875,0.529607084,0.766700925,0.93359375,0.535359801,0.726923077,0.5609375,0.839912281,0.97979798,0.717902351,0.753289474,0.885281385,0.75216189
AvgKNN,0.843201754,0.679217638,0.542756361,0.545297173,0.803338415,0.822982804,0.638475733,0.531383748,0.66360211,0.632201258,0.69370982,0.854537671,0.525391347,0.637624008,0.649149956,0.554435631,0.554232932,0.90416309,0.723788198,0.519782455,0.684596577,0.561105672,0.644695433,0.553891984,0.626364256,0.940518466,0.635927505,0.569237772,0.591301461,0.571312012,0.548009197,0.694556075,0.802287851,0.50581761,0.8359375,0.977568026,0.680112045,0.949227373,0.613481675,0.752493261,0.599450549,0.727934876,0.782520325,0.759026889,0.584429825,0.558938992,0.71412037,0.729166667,0.516220238,0.544321478,0.616535994,0.767701863,0.812857143,0.674696181,0.825570776,0.781850962,0.853783784,0.88712522,0.7909689,0.790127841,0.982954545,0.843863471,0.792647059,0.75155631,0.8140625,0.829117063,0.846478175,0.709165687,0.673344948,0.918012422,0.5593963,0.523123123,0.725621118,0.862022901,0.501782985,0.812922297,0.872003425,0.776293103,0.838107639,0.511898174,0.81397739,0.840625,0.519230769,0.580769231,0.6859375,1,0.962962963,0.820976492,0.944078947,0.813852814,0.71668719
LargestKNN,0.858642019,0.729505992,0.58088249,0.553980161,0.829009146,0.820651455,0.693167923,0.518934355,0.646057409,0.64490566,0.632857913,0.862371575,0.557346234,0.693836806,0.638742371,0.537420857,0.540780056,0.89248927,0.679366438,0.525677751,0.67988638,0.650124135,0.649162529,0.538184773,0.627330605,0.910777699,0.586620469,0.574046194,0.592944315,0.581717786,0.540296583,0.703901869,0.812627179,0.506800314,0.809168199,0.979935108,0.616526611,0.951033514,0.638743455,0.762601078,0.628605769,0.676092545,0.816226287,0.758642766,0.581810429,0.563183024,0.697685185,0.742435516,0.51391369,0.544697539,0.624257543,0.748447205,0.817142857,0.675217014,0.798173516,0.798227163,0.848918919,0.985890653,0.817733254,0.819602273,0.982244318,0.862018882,0.769485294,0.765846067,0.808007813,0.856150794,0.886160714,0.703877791,0.670731707,0.928571429,0.575949367,0.530705706,0.726785714,0.848759542,0.503311258,0.794974662,0.874143836,0.805387931,0.833767361,0.526840066,0.83299075,0.829296875,0.510856079,0.655769231,0.70125,1,0.96969697,0.851717902,0.932565789,0.826839827,0.721896239
MedKNN,0.829114226,0.645633621,0.511070677,0.584535488,0.76214939,0.823412698,0.611681748,0.55092539,0.640446667,0.624638365,0.684903953,0.830072774,0.513204117,0.610863095,0.649117262,0.556622517,0.554445373,0.896759657,0.729550843,0.536638021,0.665629944,0.500463319,0.628015945,0.554259517,0.589330377,0.943847656,0.645309168,0.560963085,0.59033979,0.565491444,0.547273214,0.684848131,0.794258373,0.510573899,0.81652114,0.965098444,0.692086835,0.944912703,0.592931937,0.715431267,0.578056319,0.817909169,0.674034553,0.7631242,0.578399123,0.517877984,0.715972222,0.721602183,0.511830357,0.539540131,0.607784905,0.768145519,0.799285714,0.663802083,0.820091324,0.770733173,0.849864865,0.664902998,0.755681818,0.764382102,0.981534091,0.813543936,0.803125,0.735851726,0.816601563,0.742559524,0.750248016,0.716509988,0.709930314,0.748757764,0.525803311,0.515615616,0.701940994,0.813740458,0.510952624,0.818834459,0.86130137,0.75387931,0.827039931,0.502213614,0.755909558,0.846875,0.526054591,0.546153846,0.67984375,1,0.936026936,0.797468354,0.942434211,0.796536797,0.700151994
PCA,0.629505149,0.742823584,0.999962772,1,0.57320122,0.634424603,0.998428896,0.719903123,0.540385011,0.620943396,0.601936328,0.562585616,0.739677062,0.890500992,0.736813426,0.559027727,0.53004919,0.865021459,0.553279768,0.674969901,0.803070617,0.823449192,0.7478495,0.937596719,0.672635289,0.821111506,0.589232409,0.597283008,0.572148189,0.571599306,0.58366483,0.631133178,0.643128197,0.607232704,0.813419118,0.956610869,0.655882353,0.817579771,0.673494764,0.838342318,0.602197802,1,0.783875339,0.62637644,0.656798246,0.854748011,0.921296296,0.817956349,0.689583333,0.530246051,0.557693831,0.785803017,0.812857143,0.503428819,0.81826484,0.795673077,0.764054054,0.862433862,0.825358852,0.877130682,0.933238636,0.771604938,0.783823529,0.868138087,0.835546875,0.885416667,0.888640873,0.893360752,0.537456446,0.834782609,0.634371957,0.58033033,0.657608696,0.885496183,0.606724401,0.790540541,0.798373288,0.802586207,0.805121528,0.60320974,0.638232271,0.903125,0.58808933,0.723076923,0.8796875,1,0.96969697,0.650994575,0.549342105,0.662337662,0.739740375
COF,0.728415809,0.559720798,0.521871452,0.58915176,0.771737805,0.762731481,0.510223289,0.53059572,0.529177228,0.591226415,0.6454171,0.904238014,0.563324294,0.500570437,0.534721011,0.542267666,0.54806005,0.800858369,0.809009484,0.63930751,0.675877319,0.572015526,0.519424435,0.512322037,0.675875398,0.869584517,0.504051173,0.5127855,0.512272748,0.515737942,0.531379633,0.559883178,0.797008194,0.516509434,0.784696691,0.517321731,0.541036415,0.893437688,0.521073298,0.611522911,0.503983516,0.656169666,0.510331978,0.533034571,0.587353801,0.532944297,0.632407407,0.598214286,0.56577381,0.555818201,0.595945197,0.597160603,0.657142857,0.620876736,0.821917808,0.550180288,0.595135135,0.94973545,0.539473684,0.523792614,0.925426136,0.698983297,0.533088235,0.530135823,0.536328125,0.686259921,0.627232143,0.506462985,0.724738676,0.811180124,0.543816943,0.54009009,0.627329193,0.611259542,0.570045848,0.506334459,0.617294521,0.546982759,0.598958333,0.532374101,0.77286742,0.61640625,0.535359801,0.567307692,0.565625,1,0.95959596,0.842676311,0.884868421,0.716450216,0.62877013
