model,abalone-17_vs_7-8-9-10,segment0,kr-vs-k-one_vs_fifteen,kr-vs-k-zero_vs_fifteen,poker-8-9_vs_5,abalone-20_vs_8-9-10,shuttle-c0-vs-c4,car-vgood,car-good,abalone-19_vs_10-11-12-13,winequality-red-4,poker-8-9_vs_6,yeast6,yeast5,yeast4,yeast3,yeast1,winequality-white-3-9_vs_5,poker-8_vs_6,kr-vs-k-zero_vs_eight,flare-F,yeast-0-2-5-7-9_vs_3-6-8,yeast-0-2-5-6_vs_3-7-8-9,vowel0,yeast-1-2-8-9_vs_7,winequality-white-3_vs_7,winequality-red-8_vs_6-7,vehicle3,vehicle2,vehicle1,vehicle0,pimaImb,abalone9-18,yeast-1-4-5-8_vs_7,winequality-red-3_vs_5,wisconsinImb,winequality-red-8_vs_6,abalone-21_vs_8,yeast-0-5-6-7-9_vs_4,yeast-2_vs_4,yeast-0-3-5-9_vs_7-8,abalone-3_vs_11,yeast-2_vs_8,page-blocks-1-3_vs_4,yeast-1_vs_7,led7digit-0-2-4-5-6-7-8-9_vs_1,dermatology-6,ecoli4,ecoli3,ecoli2,ecoli1,ecoli-0-1-4-7_vs_2-3-5-6,ecoli-0-1-4-7_vs_5-6,habermanImb,ecoli-0-1-3-7_vs_2-6,ecoli-0-1-4-6_vs_5,ecoli-0-3-4-7_vs_5-6,poker-9_vs_7,ecoli-0-1_vs_2-3-5,ecoli-0-1_vs_5,shuttle-6_vs_2-3,ecoli-0-2-6-7_vs_3-5,ecoli-0-6-7_vs_3-5,ecoli-0_vs_1,ecoli-0-6-7_vs_5,new-thyroid2,new-thyroid1,glass6,glass5,glass4,glass2,glass1,glass0,glass-0-1-2-3_vs_4-5-6,glass-0-1-4-6_vs_2,ecoli-0-3-4-6_vs_5,ecoli-0-4-6_vs_5,ecoli-0-2-3-4_vs_5,ecoli-0-3-4_vs_5,glass-0-1-6_vs_2,glass-0-1-6_vs_5,cleveland-0_vs_4,glass-0-1-5_vs_2,winequality-white-9_vs_4,iris0,lymphography-normal-fibrosis,shuttle-c2-vs-c4,glass-0-6_vs_5,zoo-3,glass-0-4_vs_5,Average
BRM,0.986003173,0.796924065,0.976006639,0.991394731,0.992280535,0.987478388,0.941610453,0.961788208,0.962252395,0.985256276,0.97746883,0.989442098,0.973948428,0.97851731,0.975654206,0.909133666,0.736021063,0.99051539,0.99240529,0.980447919,0.971321453,0.890765627,0.928155511,0.896127878,0.97170168,0.987579708,0.976357079,0.784098136,0.551394469,0.791603591,0.778857582,0.742522714,0.964875317,0.952969288,0.990415036,0.796914102,0.978133976,0.986489278,0.920697962,0.937357801,0.917039821,0.876329931,0.972329369,0.961884996,0.939139462,0.922674121,0.950657646,0.960329894,0.888548589,0.845699971,0.817018361,0.943903239,0.952340378,0.806656801,0.983050833,0.951353723,0.938448209,0.979734194,0.935671253,0.946042168,0.9750811,0.940982721,0.935771155,0.845400479,0.940013895,0.900749623,0.902610011,0.905510483,0.966980955,0.965818252,0.90320407,0.599514894,0.648839872,0.855755753,0.913550491,0.935318937,0.939819409,0.935215377,0.938051118,0.906511027,0.967410796,0.950508682,0.895674616,0.973251632,0.586561381,0.978329575,0.979654926,0.947092735,0.964812344,0.935062503,0.915608878
GM,0.986008046,0.756314468,0.982248874,0.99370464,0.895219654,0.992654901,0.964930695,0.968843252,0.966028191,0.984038708,0.973293237,0.932164617,0.983398999,0.982065386,0.977153597,0.917679976,0.684178818,0.990338997,0.922121,0.988446926,0.976093379,0.937698753,0.932615624,0.945691516,0.975286643,0.987293272,0.970718138,0.771209741,0.646008064,0.725638931,0.81952553,0.7313738,0.96696327,0.963688199,0.989957402,0.797834954,0.971810295,0.986504066,0.933159125,0.941062245,0.922064188,0.983055113,0.962849974,0.926140257,0.950132739,0.885945527,0.965065641,0.96474226,0.915870589,0.870043054,0.815296677,0.946373613,0.955102223,0.758098034,0.984576452,0.954534311,0.939494408,0.981661552,0.939170614,0.948667057,0.973965763,0.940794369,0.936779547,0.886613519,0.943778637,0.901105002,0.900643774,0.918142435,0.95677056,0.962470812,0.922029699,0.591365251,0.504426614,0.860722298,0.930210723,0.935889344,0.936384189,0.934661754,0.936741345,0.924735691,0.957291018,0.953116141,0.921552681,0.977139527,0.690313826,0.978369366,0.979659843,0.926467136,0.967363417,0.907994042,0.915970539
OCKRA,0.9861053539727987,0.6630152645040341,0.9821193628597584,0.9934755391060343,0.9922388897619882,0.9926324149684317,0.9604755650862388,0.9678538535765897,0.9561715750075495,0.9854223990587214,0.9713925305935769,0.9904587130923014,0.9799037734670876,0.9815146031942835,0.9720401216107801,0.9059983566161516,0.7395243527950288,0.9905588597535464,0.9935608833833965,0.9841342284339563,0.9750464220973549,0.9343374442951827,0.9205219550818956,0.9247153758727501,0.970090916551426,0.9874450662493888,0.9774174770745354,0.7918693130341128,0.5085924875850202,0.7757359621404882,0.7953935448063801,0.7551355867154111,0.9667605018678225,0.9604077459802832,0.9902411057333111,0.7959483851523512,0.9717926341188512,0.9865230016291138,0.9001447495430469,0.9384235975990587,0.8841915201140527,0.982716921728283,0.9733225803834973,0.9650378532256558,0.5,0.9221993533338706,0.9651646539226467,0.9635266986902826,0.8758802864700943,0.8536932603008925,0.8189559758080073,0.9487275788224516,0.5,0.5,0.9805354768270369,0.9535470158877328,0.9418249290371594,0.9817480838633826,0.9402152208423994,0.5,0.9750604718270083,0.5,0.9362121833699122,0.810154398047052,0.5,0.5,0.5,0.9153596595252678,0.9679169344568174,0.965117539167721,0.9034630439796612,0.5424789999674645,0.6373824023906937,0.8603528985839612,0.8769529347759264,0.9394241598385479,0.9388496554026925,0.9355170684259135,0.9391656451599517,0.8754398119552564,0.968301211894195,0.9547376532312102,0.8842375001564307,0.9781456276178631,0.5,0.9708860554259502,0.9797608527947261,0.9465920931728161,0.9633784186601088,0.9336867826878842,0.87627779250825
OCSVM,0.984732101,0.700219169,0.98224896,0.99370464,0.893062871,0.991716216,0.964911377,0.948084346,0.95998075,0.980039529,0.975452303,0.830480872,0.984156861,0.982826459,0.977272672,0.911541351,0.687382747,0.990148748,0.778205294,0.987643173,0.976250295,0.94026555,0.935319103,0.95071829,0.976470392,0.986718404,0.977953414,0.780244179,0.739299195,0.7334765,0.739122307,0.70088258,0.964246458,0.964820092,0.990528487,0.786012364,0.976363383,0.986309835,0.930883345,0.942140606,0.922996546,0.983590295,0.959542466,0.927844571,0.951381238,0.914259168,0.969181878,0.96409403,0.902111802,0.827759986,0.810703905,0.945102446,0.954457631,0.754334077,0.984426803,0.954242131,0.939545855,0.981200336,0.938831243,0.949384283,0.974958882,0.940930193,0.937730435,0.848338145,0.944036705,0.902277248,0.903785195,0.917851776,0.93635733,0.964152485,0.897622218,0.641866219,0.507360218,0.859781411,0.89069069,0.937780547,0.938273972,0.936293813,0.939318497,0.866402021,0.956223788,0.953702036,0.800107394,0.97518002,0.740684118,0.978630909,0.979659843,0.91403973,0.948718413,0.883824262,0.909260049
EE,0.986614273,0.788379202,0.981424723,0.99369527,0.901525393,0.992832087,0.96490151,0.962195009,0.972010388,0.986796724,0.974899954,0.973538277,0.981752922,0.981366213,0.973778741,0.908294272,0.723191448,0.99014484,0.96472636,0.988389285,0.977365835,0.932082136,0.925954583,0.948041287,0.970709017,0.987273062,0.968795315,0.799507022,0.556230356,0.783061848,0.781624096,0.741870848,0.968105673,0.960121774,0.989600699,0.798341971,0.966688337,0.986735857,0.929244082,0.939085134,0.919386677,0.983323575,0.964776214,0.967681977,0.943760987,0.876491617,0.969136939,0.965671014,0.891147676,0.904809946,0.792886632,0.946470943,0.954108214,0.813484841,0.984357107,0.955793251,0.942045297,0.977629477,0.940058709,0.949719097,0.974810344,0.940627747,0.938491499,0.873008937,0.943043348,0.898579214,0.901907839,0.925115301,0.969086628,0.963597891,0.916324499,0.539910079,0.528154115,0.867704118,0.919984875,0.940951332,0.939802408,0.940351338,0.93993054,0.910082991,0.965075473,0.957723712,0.911483606,0.975537971,0.654182661,0.975784828,0.979864633,0.935797363,0.959989141,0.938591842,0.917434803
AvgKNN,0.823221382,0.90240051,0.908630137,0.656994445,0.892909756,0.872793516,0.861245458,0.95368627,0.927887271,0.968828063,0.906446686,0.721747469,0.974390295,0.935298083,0.940542067,0.883363444,0.665680341,0.665927359,0.974012147,0.954351163,0.896369752,0.853936795,0.809576575,0.913398833,0.944724393,0.579962241,0.962925523,0.736084133,0.740857509,0.717289407,0.754274476,0.519560677,0.74691371,0.955330368,0.940646412,0.947451676,0.944436667,0.57283411,0.859292439,0.763631421,0.856913707,0.972602469,0.764791293,0.681965162,0.909409762,0.867082966,0.886398751,0.859468445,0.886534322,0.835848543,0.68141552,0.765753281,0.741829426,0.571673744,0.878606882,0.819011924,0.700513521,0.506944444,0.714437159,0.7740233,0.555045996,0.580079054,0.741849699,0.514579485,0.71287707,0.590975172,0.592901054,0.732264106,0.923771731,0.681517857,0.928970538,0.642908111,0.769696812,0.64310352,0.918288976,0.768573881,0.640546449,0.729586718,0.688054319,0.911309026,0.824923132,0.622475806,0.887163225,0.957126727,0.730738519,1,0.662698413,0.714287991,0.639448052,0.643615908,0.790827277
LargestKNN,0.824888659,0.908107232,0.926776104,0.634322795,0.83911006,0.888057214,0.846361022,0.953585742,0.943363365,0.966471106,0.91728404,0.738200052,0.971081861,0.93041166,0.945017523,0.888917455,0.675641781,0.654967791,0.976756804,0.962248544,0.895335407,0.815734833,0.811468442,0.907112836,0.936063571,0.52869898,0.970954026,0.729249217,0.728491479,0.711801205,0.75120587,0.527182968,0.756901323,0.954547101,0.946342136,0.941840908,0.956171915,0.544493605,0.842123414,0.773033402,0.848214865,0.923661703,0.69915028,0.659855099,0.908652236,0.87589334,0.889413632,0.865295928,0.885799753,0.837816957,0.677775717,0.774973361,0.729556117,0.569988307,0.797471967,0.810608761,0.711158501,0.878787879,0.70813605,0.769237,0.551636905,0.533953762,0.742363196,0.508228773,0.70930625,0.543762264,0.541532603,0.739687055,0.925436278,0.512350034,0.931687967,0.648511108,0.769916454,0.651292603,0.91884116,0.790782686,0.640613073,0.710038143,0.723557357,0.913700344,0.824545032,0.713600491,0.886526634,0.949823572,0.731544537,1,0.566666667,0.69718301,0.692424242,0.707814507,0.789101084
MedKNN,0.826863811,0.897945473,0.916659279,0.668401875,0.900061244,0.870468802,0.864873492,0.954853206,0.916278074,0.970267917,0.909149012,0.76688781,0.975133074,0.936326609,0.939020236,0.881670914,0.665192812,0.691742618,0.975123667,0.949364107,0.904920989,0.86228088,0.814474627,0.915549902,0.948178219,0.595200603,0.963148356,0.738962034,0.749441641,0.721390841,0.756402857,0.513942009,0.741689252,0.955907394,0.945081076,0.938197024,0.942861324,0.608157456,0.869386045,0.770015578,0.858455963,0.980565503,0.777113383,0.692782686,0.911737206,0.880429299,0.881217602,0.852069286,0.884014729,0.834111959,0.675570648,0.755492063,0.740666461,0.578933358,0.901937045,0.812666345,0.689208626,0.566966967,0.713696346,0.752447373,0.55,0.604112108,0.731982745,0.522299421,0.695033571,0.635332154,0.631687801,0.724079906,0.910685495,0.807166154,0.922950454,0.636553308,0.761987653,0.577251529,0.915861148,0.752258081,0.677972596,0.767364448,0.690004835,0.908566697,0.831213848,0.615381133,0.884809585,0.956305679,0.728651661,1,0.734848485,0.71855534,0.656114719,0.643785048,0.796270784
PCA,0.902131177,0.908105082,0.998949553,1,0.949713943,0.952144005,0.936581657,0.930994572,0.959959853,0.984495179,0.932187044,0.95071078,0.949882636,0.876185859,0.931245983,0.885956563,0.726200888,0.755649872,0.987379734,0.971861823,0.832471368,0.693321359,0.678160391,0.556744253,0.938196579,0.627188589,0.967638887,0.711597004,0.727462412,0.710650705,0.76271817,0.529912639,0.883741876,0.943705705,0.953794229,0.957731284,0.950397743,0.585622626,0.842066129,0.711747718,0.819849311,1,0.70111613,0.700987081,0.875146564,0.693792597,0.618016454,0.761552071,0.831391639,0.852889199,0.757875837,0.582002765,0.562998253,0.682989541,0.695533116,0.768357263,0.71844762,0.814289986,0.592584756,0.573467318,0.55913107,0.604320004,0.685807711,0.533215866,0.634444774,0.539517731,0.501182391,0.582540349,0.95092108,0.617823835,0.938438237,0.673821322,0.753498917,0.646328242,0.932469088,0.773331351,0.702052939,0.641995316,0.698586918,0.928095563,0.902447342,0.553865868,0.901330677,0.935454545,0.675785473,1,0.616666667,0.726634131,0.894426407,0.794156034,0.783964258
COF,0.939755055,0.882271365,0.955466543,0.920773606,0.956900079,0.930136259,0.906761534,0.964253924,0.95675572,0.97157652,0.947616447,0.707446448,0.979136975,0.963337327,0.952351253,0.87965876,0.674588907,0.862669809,0.964294825,0.949362015,0.934397553,0.909291826,0.887549625,0.861231715,0.89707073,0.695201265,0.971918701,0.754338936,0.715382977,0.737682852,0.765080431,0.591935861,0.74808073,0.950726096,0.94962304,0.690701874,0.963151644,0.81618087,0.880920476,0.858780366,0.901959617,0.863589944,0.947381402,0.93274551,0.907084657,0.837736561,0.956486854,0.950515124,0.902078562,0.86147799,0.681908102,0.874158772,0.87260173,0.627140684,0.745482454,0.932285665,0.871773584,0.649390244,0.839718943,0.903151102,0.760458014,0.701164127,0.872088272,0.615861569,0.887569932,0.652788733,0.708588162,0.731073847,0.791445316,0.749850316,0.91162058,0.630854161,0.742856038,0.505832266,0.90016699,0.893819522,0.844334665,0.848326734,0.836846975,0.899183729,0.828804027,0.939920915,0.89090702,0.959144503,0.566519188,1,0.647619048,0.711260565,0.788293651,0.67760697,0.837753714
